,fips,NAME,unemployment,estimate,percent
257,20045,"Douglas County, Kansas",3.9,17501,15.8
258,20091,"Johnson County, Kansas",2.9,32380,5.6
259,20103,"Leavenworth County, Kansas",5.6,6464,8.8
260,20161,"Riley County, Kansas",2.9,11709,18.2
261,20173,"Sedgwick County, Kansas",5.8,75334,14.9
262,20177,"Shawnee County, Kansas",4.3,18931,10.9
263,20209,"Wyandotte County, Kansas",6.9,31432,19.4
264,21015,"Boone County, Kentucky",4.1,9662,7.6
265,21029,"Bullitt County, Kentucky",4.1,8144,10.4
266,21037,"Campbell County, Kentucky",3.3,11120,12.5
267,21047,"Christian County, Kentucky",4.6,13938,20.8
268,21059,"Daviess County, Kentucky",3.9,15895,16.4
269,21067,"Fayette County, Kentucky",5.0,54406,17.9
270,21093,"Hardin County, Kentucky",4.5,14306,13.8
271,21111,"Jefferson County, Kentucky",5.6,111467,14.9
272,21117,"Kenton County, Kentucky",4.4,20493,12.6
273,21145,"McCracken County, Kentucky",4.6,11962,18.7
274,21151,"Madison County, Kentucky",5.8,17680,21.3
275,21185,"Oldham County, Kentucky",2.6,3582,5.9
276,21227,"Warren County, Kentucky",4.3,22037,18.5
277,22005,"Ascension Parish, Louisiana",6.8,12864,10.7
278,22015,"Bossier Parish, Louisiana",6.0,20555,16.7
279,22017,"Caddo Parish, Louisiana",7.9,63909,26.4
280,22019,"Calcasieu Parish, Louisiana",5.5,39035,19.9
281,22033,"East Baton Rouge Parish, Louisiana",6.7,86888,19.9
282,22045,"Iberia Parish, Louisiana",13.5,16885,23.4
283,22051,"Jefferson Parish, Louisiana",5.1,69610,16.1
284,22055,"Lafayette Parish, Louisiana",5.2,42781,18.1
285,22057,"Lafourche Parish, Louisiana",4.3,16447,17.1
286,22063,"Livingston Parish, Louisiana",5.3,17396,12.6
287,22071,"Orleans Parish, Louisiana",6.9,91421,24.1
288,22073,"Ouachita Parish, Louisiana",4.0,37014,24.5
289,22079,"Rapides Parish, Louisiana",7.7,25575,19.9
290,22097,"St. Landry Parish, Louisiana",5.9,21994,26.6
291,22103,"St. Tammany Parish, Louisiana",4.5,24598,9.8
292,22105,"Tangipahoa Parish, Louisiana",7.3,27350,21.5
293,22109,"Terrebonne Parish, Louisiana",8.9,23521,21.1
294,23001,"Androscoggin County, Maine",5.2,13210,12.7
295,23003,"Aroostook County, Maine",4.0,10804,16.3
296,23005,"Cumberland County, Maine",3.9,28431,10
297,23011,"Kennebec County, Maine",5.3,16479,14.1
298,23019,"Penobscot County, Maine",3.8,21460,14.8
299,23031,"York County, Maine",3.9,16132,8.1
300,24001,"Allegany County, Maryland",8.1,11090,17.2
301,24003,"Anne Arundel County, Maryland",4.5,38816,7
302,24005,"Baltimore County, Maryland",5.3,72978,9
303,24009,"Calvert County, Maryland",2.9,5282,5.8
304,24013,"Carroll County, Maryland",3.9,8990,5.5
305,24015,"Cecil County, Maryland",7.2,10099,10
306,24017,"Charles County, Maryland",3.2,11536,7.4
307,24021,"Frederick County, Maryland",4.7,16793,6.9
308,24025,"Harford County, Maryland",4.7,17769,7.2
309,24027,"Howard County, Maryland",3.3,16536,5.2
310,24031,"Montgomery County, Maryland",4.5,71252,6.9
311,24033,"Prince George's County, Maryland",5.9,81629,9.2
312,24037,"St. Mary's County, Maryland",4.2,9977,9.1
313,24043,"Washington County, Maryland",5.5,18771,13.2
314,24045,"Wicomico County, Maryland",9.4,17634,18
315,24510,"Baltimore city, Maryland",7.6,128752,21.8
